Food code,Seq num,Portion code,Portion weight,Start date,End date
11350020,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11350020,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11350020,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11350030,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11350030,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11350030,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11350030,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11350030,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11360000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11360000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11360000,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11360000,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11360000,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11370000,1,10205,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11370000,2,30000,30.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11370000,3,63480,2.5,"01/01/19 00:00:00","12/31/20 00:00:00"
11370000,4,63546,61,"01/01/19 00:00:00","12/31/20 00:00:00"
11370000,5,90000,244,"01/01/19 00:00:00","12/31/20 00:00:00"
11400000,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11400000,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11400000,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11400000,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11400000,5,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11400010,1,64562,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11400010,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11400010,3,60598,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11400010,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11400010,5,90000,150,"01/01/19 00:00:00","12/31/20 00:00:00"
11410000,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11410000,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11410000,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11410000,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11410000,9,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411010,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11411010,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411010,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411010,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11411010,7,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411100,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11411100,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411100,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411100,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11411100,7,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411200,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11411200,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411200,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411200,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11411200,7,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411300,1,64638,113,"01/01/19 00:00:00","12/31/20 00:00:00"
11411300,2,60039,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411300,3,60598,170,"01/01/19 00:00:00","12/31/20 00:00:00"
11411300,4,10205,245,"01/01/19 00:00:00","12/31/20 00:00:00"
11411300,7,90000,170,"01/01/19 00:00:00","12/31/20 00:00:00"
